order,section,source_id,source_hint,start,end,label,mute
1,intro,3P-A7J6Pqnc,Open Canvas,00:00:10.2,00:00:15.7,slippers playful intro,no
3,intro,6mpKr-avvlY,Superball Oorkaan,00:00:04,00:00:06,theatrical flash,no
4,musicianship,3P-A7J6Pqnc,Open Canvas,00:01:34,00:01:38,marimba close,no
5,musicianship,gz85boURfws,Speed Of Darkness,00:03:30,00:03:36,marimba close-up,no
6,musicianship,4PWvV6z4FHU,Loading Dock Session upsammy,00:00:53,00:00:58,collaboration,no
7,musicianship,3P-A7J6Pqnc,Open Canvas,00:02:52,00:02:55,piano,no
8,energy,eEGf4yjfd4E,The Move Groove,00:01:00,00:01:05,smiling,no
9,energy,66K3YZ625c8,FEM Promo Trailer,00:00:06,00:00:10,party smiling,no
10,energy,KvDDFS-zNhw,DDD Grand Charity Gala,00:00:36,00:00:39,audience interaction,no
11,energy,66K3YZ625c8,FEM Promo Trailer,00:00:20,00:00:24,party gold,no
12,energy,eEGf4yjfd4E,The Move Groove,00:03:15,00:03:18,funny shot,no
13,authority,qeYoU-lR_-k,Maestro Mercury Rising,00:00:23,00:00:28,frontal classical marimba,no
14,authority,qeYoU-lR_-k,Maestro Mercury Rising,00:01:40,00:01:45,pauken professional gold,no
15,authority,Xo0tKfQNhHs,VERDER Trailer,00:00:12,00:00:16,intimate cajon,no
16,authority,qeYoU-lR_-k,Maestro Mercury Rising,00:00:54,00:00:57,orchestra vibe,no
17,theatrical,6mpKr-avvlY,Superball Oorkaan,00:00:25,00:00:30,beatbox groove machine,no
18,theatrical,6mpKr-avvlY,Superball Oorkaan,00:00:35,00:00:41,ensemble playfulness,no
19,theatrical,6mpKr-avvlY,Superball Oorkaan,00:00:41,00:00:46,movement music theater,no
20,theatrical,yiUM3N-7aqk,Nieuw Babylon 9x13,00:00:49,00:00:51,snare shot,no
21,theatrical,6mpKr-avvlY,Superball Oorkaan,00:00:49,00:00:56,blacklight vibraphone,no
22,ending,4PWvV6z4FHU,Loading Dock Session upsammy,00:03:48,00:03:54,vibing with others,no
23,ending,eEGf4yjfd4E,The Move Groove,00:03:50,00:03:55,ending shot,no
