type,section,source_id,source_hint,start,end,label,mute
audio,music_bed,3P-A7J6Pqnc,Open Canvas,00:00:05,00:01:04,open canvas audio bed,no
video,intro,3P-A7J6Pqnc,Open Canvas,00:00:05,00:00:16,slippers playful intro,yes
video,intro,4PWvV6z4FHU,Loading Dock Session upsammy,00:02:46,00:02:49,frontal nice smily,yes
video,musicianship,gz85boURfws,Speed Of Darkness,00:03:30,00:03:36,marimba close-up,yes
video,energy,eEGf4yjfd4E,The Move Groove,00:03:15,00:03:18,funny shot,yes
video,ending,4PWvV6z4FHU,Loading Dock Session upsammy,00:03:46,00:03:54,vibing with others,yes
video,ending,eEGf4yjfd4E,The Move Groove,00:03:51,00:03:55,ending shot,yes
video,energy,66K3YZ625c8,FEM Promo Trailer,00:00:20,00:00:27,party gold,yes
video,energy,66K3YZ625c8,FEM Promo Trailer,00:00:08,00:00:14,party smiling,yes
video,intro,6mpKr-avvlY,Superball Oorkaan,00:00:04,00:00:09,theatrical flash,yes
video,theatrical,VnXs7amCMbc,Superball Oorkaan Show,00:19:25,00:19:29,beatbox groove machine,yes
video,theatrical,6mpKr-avvlY,Superball Oorkaan,00:00:35,00:00:36,ensemble playfulness,yes
video,ending,VnXs7amCMbc,Superball Oorkaan Show,00:45:41.5,00:45:45.5,ending movement music theater,yes





